Google Mobile Services,com/google/android/gms,com/google/android/gms
Google Ads,com/google/ads,com/google/ads
sdkbox,com/sdkbox/services,com/sdkbox/services
adbooster,com/sdkbox/adbooster,com/sdkbox/adbooster
Android Support v4,android/support/v4,android/support/v4
Android Support v7,android/support/v7,android/support/v7
Firebase,com/google/firebase,com/google/firebase
android constraint,android/support/constraint,android/support/constraint
android graphics,android/support/graphics,android/support/graphics
Multidex,android/support/multidex,android/support/multidex
Android Support Design,android/support/design,android/support/design
Google Play,com/android/vending,com/android/vending
Android transition,android/support/transition,android/support/transition
Glide,com/bumptech/glide,com/bumptech/glide
Google Gson,com/google/gson,com/google/gson
OkHttp,com/squareup/okhttp,com/squareup/okhttp
Crashlytics,com/crashlytics/android,com/crashlytics/android
butterknife UI Framework,Lbutterknife,Lbutterknife
OKHttp3.0,Lokhttp3,Lokhttp3
RxJava Retrofit,Lrx/internal,Lrx/internal
localytics,com/localytics,com/localytics
crashlytics,com/crashlytics,com/crashlytics
ActionBarSherlock,com/actionbarsherlock,com/actionbarsherlock
picasso,com/squareup/picasso,com/squareup/picasso
Nostra13 Image Loading,com/nostra13,com/nostra13
edmodo,com/edmodo,com/edmodo
Testingkit,com/Testingkit,com/Testingkit
Andengine Game Engine,Lorg/andengine,Lorg/andengine
ACRA (Application Crash Reports for Android),Lorg/acra,Lorg/acra
Apache Http,Lorg/apache/http,Lorg/apache/http
XML Pull,Lorg/xmlpull,Lorg/xmlpull
Nine Old Androids,com/nineoldandroids,com/nineoldandroids
millennialmedia,com/millennialmedia,com/millennialmedia
J256,com/j256,com/j256
Mobeta ListView,com/mobeta,com/mobeta
Smaato,com/smaato,com/smaato
Inmobi,com/inmobi,com/inmobi
Inneractive,com/inneractive,com/inneractive
MoPub,com/mopub,com/mopub
Facebook,com/facebook,com/facebook
adclient,com/adclient/android/sdk/install,com/adclient/android/sdk/install
Google Protocol Buffers,com/google/protobuf,com/google/a
Flurry,com/flurry/android,com/flurry/android
Zip4j,Lnet/lingala/zip4j,La/a/a
Jsoup,Lorg/jsoup,Lorg/jsoup
Fabric,Lio/fabric/sdk/android,Lio/fabric/sdk/android
ZXing ('Zebra Crossing'),com/google/zxing,com/google/zxing
AndroidAsync,com/koushikdutta/async,com/koushikdutta/async
customtabs,android/support/customtabs,android/support/customtabs
shortcutbadger,com/onesignal/shortcutbadger,com/onesignal/shortcutbadger
journeyapps,com/journeyapps,com/journeyapps
koushikdutta,com/koushikdutta,com/koushikdutta
Bolts Base Library,Lbolts,Lbolts
OkHttp okio Framework,Lokio,Lokio
Lrx,Lrx/exceptions,Lrx/exceptions
java_websocket,com/mixpanel/android/java_websocket,com/mixpanel/android/java_websocket
mixpanel surveys,com/mixpanel/android/surveys,com/mixpanel/android/surveys
widget,com/zopim/android/sdk/widget,com/zopim/android/sdk/widget
chatlog,com/zopim/android/sdk/chatlog,com/zopim/android/sdk/chatlog
anim,com/zopim/android/sdk/anim,com/zopim/android/sdk/anim
zopim,com/zopim/android/sdk/data,com/zopim/android/sdk/data
zendesk util,com/zendesk/util,com/zendesk/util
wang,com/wang,com/wang
retrofit RESTful Library,Lretrofit,Lretrofit
Joda Time,Lorg/joda/time,Lb/b/a
Amazon AWS,com/amazonaws,com/amazonaws
Lrx observables,Lrx/observables,Lrx/observables
Lrx observers,Lrx/observers,Lrx/observers
airbnb,com/airbnb,com/airbnb
android support v8,android/support/v8,android/support/v8
Fmod,Lorg/fmod,Lorg/fmod
Unity3D,com/unity3d,com/unity3d
YouTube Android Player API,com/google/android/youtube/player,com/google/android/youtube/player
Digits,com/digits/sdk/vcard,com/digits/sdk/vcard
AppsFlyer,com/appsflyer,com/appsflyer
Apache Common,Lorg/apache/commons,Lorg/apache/commons
twitter,com/twitter,com/twitter
digits,com/digits,com/digits
Lpl,Lpl,Lpl
Lat,Lat,Lat
SourceForge ZBar,Lnet/sourceforge/zbar,Lnet/sourceforge/zbar
Adobe Air FRE,com/adobe/fre,com/adobe/fre
Adobe FlashPlayer,com/adobe/flashruntime,com/adobe/flashruntime
Adobe Air,com/adobe/air,com/adobe/air
Adobe FlashPlayer,com/adobe/flashplayer,com/adobe/flashplayer
mediacore,com/adobe/mediacore,com/adobe/mediacore
HockeyApp,Lnet/hockeyapp/android,Lnet/hockeyapp/android
Lmono,Lmono,Lmono
Mono for Android,Lmono/android,Lmono/com
urbanairship,com/urbanairship,com/urbanairship
dvb,com/google/android/exoplayer2/text/dvb,com/google/android/exoplayer2/text/dvb
trackselection,com/google/android/exoplayer2/trackselection,com/google/android/exoplayer2/trackselection
scte35,com/google/android/exoplayer2/metadata/scte35,com/google/android/exoplayer2/metadata/scte35
smoothstreaming,com/google/android/exoplayer2/source/smoothstreaming,com/google/android/exoplayer2/source/smoothstreaming
Flurry SDK,com/flurry/sdk,com/flurry/sdk
Volley HTTP library,com/android/volley,com/android/volley
Java-WebSocket,Lorg/java_websocket,com/mixpanel/android/java_websocket
Fasterxml,com/fasterxml,com/fasterxml
i2p,Lnet/i2p,Lnet/i2p
hdodenhof,Lde/hdodenhof,Lde/hdodenhof
ogacle japan,com/ogaclejapan,com/ogaclejapan
JAudiotagger,Lorg/jaudiotagger,Lorg/jaudiotagger
