1,Google Mobile Services,Lcom/google/android/gms,Lcom/google/android/gms
2,Google Ads,Lcom/google/ads,Lcom/google/ads
3,Unknown,Lcom/sdkbox/services,Lcom/sdkbox/services
4,Unknown,Lcom/sdkbox/adbooster,Lcom/sdkbox/adbooster
5,Android Support v4,Landroid/support/v4,Landroid/support/v4
6,Android Support v7,Landroid/support/v7,Landroid/support/v7
7,Firebase,Lcom/google/firebase,Lcom/google/firebase
8,Unknown,Landroid/support/constraint,Landroid/support/constraint
9,Unknown,Landroid/support/graphics,Landroid/support/graphics
10,Multidex,Landroid/support/multidex,Landroid/support/multidex
11,Android Support Design,Landroid/support/design,Landroid/support/design
12,Google Play,Lcom/android/vending,Lcom/android/vending
13,Unknown,Landroid/support/transition,Landroid/support/transition
14,Glide,Lcom/bumptech/glide,Lcom/bumptech/glide
15,Google Gson,Lcom/google/gson,Lcom/google/gson
16,OkHttp,Lcom/squareup/okhttp,Lcom/squareup/okhttp
17,Crashlytics,Lcom/crashlytics/android,Lcom/crashlytics/android
18,butterknife UI Framework,Lbutterknife,Lbutterknife
19,OKHttp3.0,Lokhttp3,Lokhttp3
20,RxJava Retrofit,Lrx/internal,Lrx/internal
21,Unknown,Lcom/localytics,Lcom/localytics
22,Unknown,Lcom/crashlytics,Lcom/crashlytics
23,ActionBarSherlock,Lcom/actionbarsherlock,Lcom/actionbarsherlock
24,picasso,Lcom/squareup/picasso,Lcom/squareup/picasso
25,Nostra13 Image Loading,Lcom/nostra13,Lcom/nostra13
26,Unknown,Lcom/edmodo,Lcom/edmodo
27,Unknown,Lcom/example,Lcom/example
28,Andengine Game Engine,Lorg/andengine,Lorg/andengine
29,ACRA (Application Crash Reports for Android),Lorg/acra,Lorg/acra
30,Apache Http,Lorg/apache/http,Lorg/apache/http
31,XML Pull,Lorg/xmlpull,Lorg/xmlpull
32,Nine Old Androids,Lcom/nineoldandroids,Lcom/nineoldandroids
33,millennialmedia,Lcom/millennialmedia,Lcom/millennialmedia
34,J256,Lcom/j256,Lcom/j256
35,Mobeta ListView,Lcom/mobeta,Lcom/mobeta
36,Smaato,Lcom/smaato,Lcom/smaato
37,Inmobi,Lcom/inmobi,Lcom/inmobi
38,Inneractive,Lcom/inneractive,Lcom/inneractive
39,MoPub,Lcom/mopub,Lcom/mopub
40,Facebook,Lcom/facebook,Lcom/facebook
41,Unknown,Lcom/adclient/android/sdk/install,Lcom/adclient/android/sdk/install
42,Google Protocol Buffers,Lcom/google/a,Lcom/google/protobuf
43,Flurry,Lcom/flurry/android,Lcom/flurry/android
44,Zip4j,La/a/a,Lnet/lingala/zip4j
45,Jsoup,Lorg/jsoup,Lorg/jsoup
46,Fabric,Lio/fabric/sdk/android,Lio/fabric/sdk/android
47,ZXing ('Zebra Crossing'),Lcom/google/zxing,Lcom/google/zxing
48,AndroidAsync,Lcom/koushikdutta/async,Lcom/koushikdutta/async
49,Unknown,Landroid/support/customtabs,Landroid/support/customtabs
50,Unknown,Lcom/onesignal/shortcutbadger,Lcom/onesignal/shortcutbadger
51,Unknown,Lcom/journeyapps,Lcom/journeyapps
52,Unknown,Lcom/koushikdutta,Lcom/koushikdutta
53,Bolts Base Library,Lbolts,Lbolts
54,OkHttp okio Framework,Lokio,Lokio
55,Unknown,Lrx/exceptions,Lrx/exceptions
56,Unknown,Lcom/mixpanel/android/java_websocket,Lcom/mixpanel/android/java_websocket
57,Unknown,Lcom/mixpanel/android/surveys,Lcom/mixpanel/android/surveys
58,Unknown,Lcom/zopim/android/sdk/widget,Lcom/zopim/android/sdk/widget
59,Unknown,Lcom/zopim/android/sdk/chatlog,Lcom/zopim/android/sdk/chatlog
60,Unknown,Lcom/zopim/android/sdk/anim,Lcom/zopim/android/sdk/anim
61,Unknown,Lcom/zopim/android/sdk/data,Lcom/zopim/android/sdk/data
62,Unknown,Lcom/zendesk/util,Lcom/zendesk/util
63,Unknown,Lcom/wang,Lcom/wang
64,retrofit RESTful Library,Lretrofit,Lretrofit
65,Joda Time,Lb/b/a,Lorg/joda/time
66,Amazon AWS,Lcom/amazonaws,Lcom/amazonaws
67,Unknown,Lrx/observables,Lrx/observables
68,Unknown,Lrx/observers,Lrx/observers
69,Unknown,Lcom/airbnb,Lcom/airbnb
70,Unknown,Landroid/support/v8,Landroid/support/v8
71,Fmod,Lorg/fmod,Lorg/fmod
72,Unity3D,Lcom/unity3d,Lcom/unity3d
73,YouTube Android Player API,Lcom/google/android/youtube/player,Lcom/google/android/youtube/player
74,Digits,Lcom/digits/sdk/vcard,Lcom/digits/sdk/vcard
75,AppsFlyer,Lcom/appsflyer,Lcom/appsflyer
76,Apache Common,Lorg/apache/commons,Lorg/apache/commons
77,Unknown,Lcom/twitter,Lcom/twitter
78,Unknown,Lcom/digits,Lcom/digits
79,Unknown,Lpl,Lpl
80,Unknown,Lat,Lat
81,SourceForge ZBar,Lnet/sourceforge/zbar,Lnet/sourceforge/zbar
82,Adobe Air FRE,Lcom/adobe/fre,Lcom/adobe/fre
83,Adobe FlashPlayer,Lcom/adobe/flashruntime,Lcom/adobe/flashruntime
84,Adobe Air,Lcom/adobe/air,Lcom/adobe/air
85,Adobe FlashPlayer,Lcom/adobe/flashplayer,Lcom/adobe/flashplayer
86,Unknown,Lcom/adobe/mediacore,Lcom/adobe/mediacore
87,HockeyApp,Lnet/hockeyapp/android,Lnet/hockeyapp/android
88,,Lmono,Lmono
89,Mono for Android,Lmono/com,Lmono/android
90,urbanairship,Lcom/urbanairship,Lcom/urbanairship
91,Unknown,Lcom/google/android/exoplayer2/text/dvb,Lcom/google/android/exoplayer2/text/dvb
92,Unknown,Lcom/google/android/exoplayer2/trackselection,Lcom/google/android/exoplayer2/trackselection
93,Unknown,Lcom/google/android/exoplayer2/metadata/scte35,Lcom/google/android/exoplayer2/metadata/scte35
94,Unknown,Lcom/google/android/exoplayer2/source/smoothstreaming,Lcom/google/android/exoplayer2/source/smoothstreaming
95,Flurry SDK,Lcom/flurry/sdk,Lcom/flurry/sdk
96,Volley HTTP library,Lcom/android/volley,Lcom/android/volley
97,Java-WebSocket,Lcom/mixpanel/android/java_websocket,Lorg/java_websocket
98,Fasterxml,Lcom/fasterxml,Lcom/fasterxml
99,Unknown,Lnet/i2p,Lnet/i2p
100,Unknown,Lde/hdodenhof,Lde/hdodenhof
101,Unknown,Lcom/ogaclejapan,Lcom/ogaclejapan
102,JAudiotagger,Lorg/jaudiotagger,Lorg/jaudiotagger
103,comscore,Lcom/comscore,Lcom/comscore
104,PayPal,Lcom/paypal,Lcom/paypal
105,Github,Lcom/github,Lcom/github
106,mobfox,Lcom/mobfox,Lcom/mobfox
107,Radius Networks,Lcom/pushwoosh/thirdparty/radiusnetworks,Lcom/radiusnetworks
108,Unity3d Ads,Lcom/unity3d/ads,Lcom/unity3d/ads
109,StartApp,Lcom/startapp,Lcom/startapp
110,Amazon Advertisement,Lcom/amazon/device/ads,Lcom/amazon/device/ads
111,Unknown,Lorg/altbeacon/bluetooth,Lorg/altbeacon/bluetooth
112,Unknown,Lcom/clevertap,Lcom/clevertap
113,Unknown,Lcom/google/android/exoplayer2/text/webvtt,Lcom/google/android/exoplayer2/text/webvtt
114,Unknown,Lcom/smartadserver/android/library/controller/mraid,Lcom/smartadserver/android/library/controller/mraid
115,Unknown,Lcom/smartadserver/android/library/offline,Lcom/smartadserver/android/library/offline
116,Unknown,Lcom/pushwoosh/notification,Lcom/pushwoosh/notification
117,Unknown,Lcom/google/android/exoplayer2/text/ttml,Lcom/google/android/exoplayer2/text/ttml
118,Unknown,Lcom/mobimento/caponate/util/paypal,Lcom/mobimento/caponate/util/paypal
119,Unknown,Lcom/pushwoosh/local,Lcom/pushwoosh/local
120,Unknown,Lcom/mobimento/caponate/util/views,Lcom/mobimento/caponate/util/views
121,Unknown,Lcom/mobvista/msdk/shell,Lcom/mobvista/msdk/shell
122,Unknown,Lcom/mobimento/caponate/section/imageMap,Lcom/mobimento/caponate/section/imageMap
123,Unknown,Lcom/mobimento/caponate/section/calendar,Lcom/mobimento/caponate/section/calendar
124,Unknown,Lcom/mobimento/caponate/section/dataviews/ARPois,Lcom/mobimento/caponate/section/dataviews/ARPois
125,Unknown,Lcom/mobvista/msdk/appwall/report,Lcom/mobvista/msdk/appwall/report
126,Twitter,Ltwitter4j,Ltwitter4j
127,Unknown,Lcom/mobimento/caponate/section/dataviews/gallery,Lcom/mobimento/caponate/section/dataviews/gallery
128,Unknown,Lcom/mobvista/msdk/appwall/viewpager,Lcom/mobvista/msdk/appwall/viewpager
129,GNU KAWA,Lgnu/kawa,Lgnu/kawa
130,Unknown,Lcom/mobvista/msdk/base/c,Lcom/mobvista/msdk/base/c
131,Unknown,Lcom/mobimento/caponate/section/dataviews/calendar,Lcom/mobimento/caponate/section/dataviews/calendar
132,GNU Common Lisp,Lgnu/commonlisp,Lgnu/commonlisp
133,Unknown,Lcom/mobvista/msdk/base/b/b,Lcom/mobvista/msdk/base/b/b
134,Unknown,Lcom/mobimento/caponate/element,Lcom/mobimento/caponate/element
135,GNU XML,Lgnu/xml,Lgnu/xml
136,Unknown,Lcom/mobvista/msdk/base/b/c,Lcom/mobvista/msdk/base/b/c
137,Unknown,Lcom/tappx/a/a/a/i,Lcom/tappx/a/a/a/g
138,GNU Mapping,Lgnu/mapping,Lgnu/mapping
139,Unknown,Lcom/tappx/a/a/a/c,Lcom/tappx/a/a/a/b
140,Unknown,Lcom/mobvista/msdk/base/webview,Lcom/mobvista/msdk/base/webview
141,ECMAScript,Lgnu/ecmascript,Lgnu/ecmascript
142,Unknown,Lcom/mobvista/msdk/base/adapter,Lcom/mobvista/msdk/base/adapter
143,Kawa for Android,Lkawa,Lkawa
144,Unknown,Lcom/mobvista/msdk/base/entity,Lcom/mobvista/msdk/base/entity
145,Unknown,Lgnu/lists,Lgnu/lists
146,Unknown,Lcom/mobvista/msdk/b,Lcom/mobvista/msdk/b
147,Unknown,Lgnu/text,Lgnu/text
148,Unknown,Lcom/mobvista/msdk/click,Lcom/mobvista/msdk/click
149,Unknown,Lgnu/math,Lgnu/math
150,Unknown,Lcom/mobvista/msdk/out,Lcom/mobvista/msdk/out
151,Unknown,Lgnu/expr,Lgnu/expr
152,Unknown,Lio/branch/referral/util,Lio/branch/referral/util
153,Unknown,Lgnu/bytecode,Lgnu/bytecode
154,getui,Lcom/getkeepsafe,Lcom/igexin
155,ISO Parser,Lcom/coremedia/iso,Lcom/coremedia/iso
156,AspectJ,Lorg/mp4parser/aspectj,Lorg/aspectj
157,Unknown,Lcom/mparticle/kits/mappings,Lcom/mparticle/kits/mappings
158,Unknown,Lcom/mp4parser,Lcom/mp4parser
159,Unknown,Lcom/googlecode/mp4parser/boxes,Lcom/googlecode/mp4parser/boxes
160,Unknown,Lcom/helpshift/campaigns/views,Lcom/helpshift/campaigns/views
161,Unknown,Lbo,Lbo
162,Unknown,Lretrofit2,Lretrofit2
163,Unknown,Lcom/orm,Lcom/orm
164,Unknown,Lorg/greenrobot,Lorg/greenrobot
165,json smart,Lnet/minidev/json,Lnet/minidev/json
166,adjust,Lcom/adjust/sdk,Lcom/adjust/sdk
167,JavaX Annotation API,Ljavax/annotation,Ljavax/annotation
168,Unknown,Lcom/aigestudio,Lcom/aigestudio
169,Heyzap,Lcom/heyzap,Lcom/heyzap
170,ActiveAndroid,Lcom/activeandroid,Lcom/activeandroid
171,Unknown,Lio/realm/internal,Lio/realm/internal
172,Unknown,Lio/realm/processor,Lio/realm/processor
173,Unknown,Lcom/appnext/appnextsdk,Lcom/appnext/appnextsdk
174,Unknown,Lcom/appnext/ads,Lcom/appnext/ads
175,Unknown,Lcom/appnext/core,Lcom/appnext/core
176,Android Viewpagerindicator Widget,Lcom/viewpagerindicator,Lcom/viewpagerindicator
177,otto,Lcom/squareup/otto,Lcom/squareup/otto
178,Dagger,Ldagger,Ldagger
179,KObjects,Lorg/kobjects,Lorg/kobjects
180,ksoap2,Lorg/ksoap2,Lorg/ksoap2
181,Kxml2,Lorg/kxml2,Lorg/kxml2
182,Unknown,Lnet/sf,Lnet/sf
183,ExoPlayer,Lcom/google/android/exoplayer,Lcom/google/android/exoplayer
184,Unknown,Lnet/grandcentrix,Lnet/grandcentrix
185,Unknown,Lcom/caverock,Lcom/caverock
186,Unknown,Lcom/makeramen,Lcom/makeramen
187,Unknown,Lcom/davemorrissey,Lcom/davemorrissey
188,Unknown,Lcom/brightcove/player/event,Lcom/brightcove/player/event
189,Unknown,Lcom/brightcove/player/captioning/preferences,Lcom/brightcove/player/captioning/preferences
190,Unknown,Lorg/apmem,Lorg/apmem
191,Json org,Lorg/json,Lorg/json
192,Metalev Multi Touch,Lorg/metalev/multitouch,Lorg/metalev/multitouch
193,pulltorefresh,Lcom/handmark/pulltorefresh,Lcom/handmark/pulltorefresh
194,Unknown,Luk/co/senab/photoview,Luk/co/senab/photoview
195,Unknown,Lcom/haarman,Lcom/haarman
196,Unknown,Lcom/handmark,Lcom/handmark
197,Unknown,Lcom/ianhanniballake,Lcom/ianhanniballake
198,Unknown,Lcom/emilsjolander,Lcom/emilsjolander
199,Esoteric Software 2D,Lcom/esotericsoftware,Lcom/esotericsoftware
200,Amazon Auth SDK,Lcom/amazon/identity/auth,Lcom/amazon/identity/auth
201,Unknown,Landroid/support/v13,Landroid/support/b
202,Unknown,Lcom/appnext/core/webview,Lcom/appnext/core/webview
203,GreenDao,Lde/greenrobot/dao,Lde/greenrobot/dao
204,EventBus,Lde/greenrobot/event,Lde/greenrobot/event
205,Android Priority Job Queue,Lcom/path/android/jobqueue,Lcom/path/android/jobqueue
206,Google Maps Utils,Lcom/google/maps/android,Lcom/google/maps/android
207,SLF4J,Lorg/slf4j,Lorg/slf4j
208,Unknown,Lcom/path,Lcom/path
209,Unknown,Lcom/google/c,Lcom/google/c
210,Unknown,Lcom/google/a/a,Lcom/google/a/a
211,Unknown,Lcom/jaredrummler,Lcom/jaredrummler
212,Unknown,Lcom/miguelcatalan,Lcom/miguelcatalan
213,Unknown,Lio/socket,Lio/socket
214,Unknown,Lorg/joda,Lorg/joda
215,Google API Client Libraries,Lcom/google/api/client,Lcom/google/api/client
216,ShareSDK,Lcn/sharesdk/framework,Lcn/sharesdk/framework
217,Mob one key share,Lcn/sharesdk/onekeyshare,Lcn/sharesdk/onekeyshare
218,Mob share to tencent,Lcn/sharesdk/tencent,Lcn/sharesdk/tencent
219,prime[31],Lcom/prime31,Lcom/prime31
220,mob share,Lcom/mob/commons,Lcom/mob/commons
221,Mob Tools,Lcom/mob/tools,Lcom/mob/tools
222,Unknown,Lcn/sharesdk/wechat,Lcn/sharesdk/wechat
223,Unknown,Lnet/agasper,Lnet/agasper
224,Unknown,Lnet/hockeyapp,Lnet/hockeyapp
225,Unknown,Ltv/teads/android/exoplayer2/util,Lcom/google/android/exoplayer2/util
226,Unknown,Ltv/teads/android/exoplayer2/upstream/cache,Lcom/google/android/exoplayer2/upstream/cache
227,Unknown,Ltv/teads/android/exoplayer2/metadata,Lcom/google/android/exoplayer2/metadata
228,Unknown,Ltv/teads/android/exoplayer2/drm,Lcom/google/android/exoplayer2/drm
229,Unknown,Ltv/teads/android/exoplayer2/extractor/mkv,Lcom/google/android/exoplayer2/extractor/mkv
230,Unknown,Ltv/teads/android/exoplayer2/audio,Lcom/google/android/exoplayer2/audio
231,Unknown,Lcom/jakewharton,Lcom/jakewharton
232,Unknown,Lcom/twitter/sdk/android/core,Lcom/twitter/sdk/android/core
233,Unknown,Lcom/twitter/sdk/android/tweetui,Lcom/twitter/sdk/android/tweetui
234,Unknown,Lcom/android/debug,Lcom/android/debug
235,Unknown,Lcom/appboy/configuration,Lcom/appboy/configuration
236,Unknown,Lcom/appboy/models,Lcom/appboy/models
237,Unknown,Lcom/appboy/ui/inappmessage/views,Lcom/appboy/ui/inappmessage/views
238,Unknown,Lcom/appboy/ui/widget,Lcom/appboy/ui/widget
